instrument,samba,mix,sdr,isr,sir,sar,perm
RP,SA,5,-0.40689087252246525,0.15217235551299962,-17.345889870041063,8.149984456828602,2.0
SK,SA,5,1.5877912013000506,2.162577519087994,-0.3295677227590512,8.984282573695129,3.0
SU,SA,5,4.027190860846632,21.453260077738634,4.147534775329971,14.81170542671842,3.0
TB,SA,5,-2.052256331061142,2.0737875975547606,-10.027489743727685,9.853650046063827,4.0
TT,SA,5,-0.892086978472846,8.362226191933587,-2.6571530034549573,11.013560516984771,4.0
AG,SA,6,10.093335459127964,14.946950682021308,14.901616289086878,12.776697560242036,0.0
CX,SA,6,0.5001414456056203,0.7968126599223742,-2.866617721929674,3.723748888105525,1.0
CU,SA,6,10.092425882765719,13.780176424722264,18.10395832065302,12.807857047637166,1.0
PD,SA,6,-0.003255265773668368,0.24120373290241454,-10.42233498391131,7.495648656310112,2.0
RR,SA,6,-3.672619108884675,0.957617459648242,-19.141445985746806,7.25988013846546,2.0
RP,SA,6,-0.4110292275556654,0.10108051676687774,-20.226352508243732,6.954554216921957,3.0
SK,SA,6,-0.6273753398634916,1.5977629819040255,-12.83537576612055,8.598319028775387,3.0
SU,SA,6,-0.16190815967773453,0.4291233011379297,-18.37409630475191,12.837063713854988,4.0
TB,SA,6,-3.764165601726151,2.084195844081069,-13.88530574223941,10.288505197120479,4.0
TT,SA,6,-0.9982749283942534,0.5019504204118916,-9.965039351474427,9.958343307713601,5.0
AG,SA,7,9.237276661473242,14.101484167120724,13.971188517840453,12.181031058357801,0.0
CX,SA,7,0.4344032539706546,0.6933425613241034,-3.355158518759432,3.4994470093453236,1.0
CU,SA,7,9.450289467891277,13.438501757987584,16.752468728103487,12.17757296114898,1.0
PD,SA,7,-0.019264286790179164,0.19660684608246842,-11.069340737289458,7.453543869855111,2.0
RR,SA,7,-3.2873350438775084,0.7591299697178194,-20.177389551180074,6.808889953418242,3.0
RP,SA,7,-0.3359765837910064,0.06706354223618388,-22.40745012650625,6.524777820522945,3.0
SK,SA,7,-2.4084199742424555,0.5971576991442674,-21.09561241760943,8.707445277360495,4.0
SU,SA,7,-0.22492254215158924,0.306309922960929,-20.184568469882105,10.032365536181604,5.0
TB,SA,7,-4.44461059811794,2.0873747401039515,-14.069947791515728,10.271285863505408,5.0
TT,SA,7,-1.3167077960086937,0.38340149143056174,-14.884381194800884,11.285567687694055,6.0
AG,SA,8,8.584273346782908,13.452325875722916,13.013947520197377,11.441412740086326,0.0
CX,SA,8,0.3942412955777169,0.5969560587233085,-3.7182150219125036,3.3164864511657894,1.0
CU,SA,8,8.951442631848423,12.783204783997505,15.017476658454054,11.612871482427508,2.0
PD,SA,8,-0.027717075878904443,0.16122174094574765,-12.508647380532484,7.5501828333720695,2.0
RR,SA,8,-2.802616726847535,0.6317710144938803,-18.594472074983106,6.256902246294756,3.0
RP,SA,8,-0.17141118460401517,0.011060516052252525,-23.44058906755629,6.5216750351550115,4.0
